"Airline","Month","Departure_Hour","Total_Flights","Average_Departure_Delay","Average_Arrival_Delay","Total_Departure_Delay_Time","Total_Arrival_Delay_Time"
Alaska Airlines Inc.,1,0,32,-1.75,-17.06,90.0,64.0
Alaska Airlines Inc.,1,1,34,-0.15,-5.50,166.0,148.0
Alaska Airlines Inc.,1,2,15,4.60,1.33,149.0,153.0
Alaska Airlines Inc.,1,3,5,21.60,20.60,121.0,115.0
Alaska Airlines Inc.,1,4,1,-6.00,-16.00,0.0,0.0
Alaska Airlines Inc.,1,5,67,-6.07,-7.10,108.0,188.0
Alaska Airlines Inc.,1,6,530,-0.46,-3.15,3161.0,4012.0
Alaska Airlines Inc.,1,7,784,0.32,-2.93,4893.0,6280.0
Alaska Airlines Inc.,1,8,676,4.10,3.36,6245.0,7828.0
Alaska Airlines Inc.,1,9,569,4.58,1.27,5495.0,6592.0
Alaska Airlines Inc.,1,10,494,4.91,2.30,4947.0,5597.0
Alaska Airlines Inc.,1,11,579,4.47,1.42,5526.0,6324.0
Alaska Airlines Inc.,1,12,425,4.40,1.21,4098.0,4606.0
Alaska Airlines Inc.,1,13,458,4.67,0.74,4659.0,4810.0
Alaska Airlines Inc.,1,14,420,3.69,1.03,3628.0,4165.0
Alaska Airlines Inc.,1,15,559,6.96,3.90,6914.0,7093.0
Alaska Airlines Inc.,1,16,426,7.63,3.92,5577.0,5976.0
Alaska Airlines Inc.,1,17,694,7.43,4.37,8835.0,9837.0
Alaska Airlines Inc.,1,18,552,6.35,1.64,6326.0,6522.0
Alaska Airlines Inc.,1,19,546,6.41,2.87,6675.0,7021.0
Alaska Airlines Inc.,1,20,280,6.34,4.39,3524.0,3831.0
Alaska Airlines Inc.,1,21,320,8.99,5.26,4075.0,4145.0
Alaska Airlines Inc.,1,22,136,4.02,1.00,1324.0,1529.0
Alaska Airlines Inc.,1,23,219,3.92,-1.53,1940.0,1910.0
Alaska Airlines Inc.,2,0,32,3.56,-5.41,246.0,235.0
Alaska Airlines Inc.,2,1,19,-0.21,-8.00,98.0,78.0
Alaska Airlines Inc.,2,2,23,6.48,-3.91,226.0,146.0
Alaska Airlines Inc.,2,3,5,0.40,-8.80,18.0,21.0
Alaska Airlines Inc.,2,4,6,-8.17,-4.00,5.0,21.0
Alaska Airlines Inc.,2,5,58,-5.81,-3.84,115.0,313.0
Alaska Airlines Inc.,2,6,477,-2.40,-4.83,1983.0,2956.0
Alaska Airlines Inc.,2,7,745,2.55,-0.23,6083.0,8142.0
Alaska Airlines Inc.,2,8,670,3.99,3.41,6283.0,8277.0
Alaska Airlines Inc.,2,9,479,4.30,0.30,4387.0,4924.0
Alaska Airlines Inc.,2,10,522,9.75,8.30,7516.0,8409.0
Alaska Airlines Inc.,2,11,511,5.85,2.48,5347.0,5800.0
Alaska Airlines Inc.,2,12,400,6.54,5.18,4781.0,5425.0
Alaska Airlines Inc.,2,13,429,6.06,3.58,5050.0,5792.0
